Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
"Azure Data Factory Administration Essential Training: Manage, Secure, and Monitor Environments","In this course, get a comprehensive overview of key administrative skills in Azure Data Factory (ADF) environments. Instructor Emilio Melo shows you how to manage, secure, and monitor ADF environments effectively. Learn how to set up a Data Factory resource, configure linked services, and manage integration runtimes to optimize data workflows. Emilio also covers core security practices and offers you hands-on experience with monitoring, troubleshooting, and automating pipelines. Whether you're new to ADF or looking to strengthen your administrative skills, this course provides the practical know-how you need to succeed in real-world scenarios.",Course,2026-01-07 18:46 UTC,N/A,true,N/A,
Java: Data Structures,"<p>Data structures are used in almost all applications, so developers need to know what they are and how to use the most common ones. In this course, instructor Bethan Palmer explains what data structures in Java are and what you can do with some of the most common types. After giving some definitions, Bethan presents what you should consider when choosing a data structure, such as different levels of speed and performance. She shows you what arrays are and the pros and cons of using them, then walks you through how to create arrays and perform operations on them. Then Bethan dives into Java Collections, starting with the Collection interface. Most data structures in Java implement the Collection interface, so understanding what it is and how it works is key. Bethan goes over stacks, queues, and TreeSets, then concludes with a challenge and solution set exploring how to create and perform operations on some Java Collections.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/java-foundations-professional-certificate-by-jetbrains"" target=""_blank"">Professional Certificate</a> from JetBrains.</p>",Course,2025-07-18 19:19 UTC,N/A,false,N/A,
Learning Data Visualization,"<div><a href=""https://www.linkedin.com/newsletters/6599926882873991168?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Bill's LinkedIn Newsletter</a></div><br>Got a big idea? You need to get it across quickly and efficiently, or modern audiences will move on to the next story clamoring for their attention. Data visualization allows you to make the complex simple, the abstract tangible, and the invisible visible. In this course, Bill Shander shows how to think about your data, your audience, and your goals to create visuals that maximize impact. Plus, learn about human visual perception and chart selection strategies, which make all the difference when visualizing data.",Course,2025-07-08 05:34 UTC,2025-07-08 05:34 UTC,false,N/A,
Planning a Microsoft Azure Solution,"In this course, instructor Robin Smorenburg provides a thorough introduction to cloud computing and Microsoft Azure, focusing on the various Azure technologies designed to help support and protect your company as it scales. Learn how to build a base of operations with Azure resource groups, virtual networking, and storage—the foundations of your infrastructure—and ensure business continuity using out-of-the-box Azure Backup and Azure Site Recovery services, set up virtual machines, and manage users and access with Microsoft Entra ID (formerly Azure Active Directory). This introduction is a perfect primer for IT pros who want to move resources to the Azure platform.",Course,2025-07-11 05:33 UTC,N/A,true,N/A,
Level Up: Advanced Python,"<p>Python has quickly become one of the most popular programming languages in the world. If you’re looking to land a new role or stand out from the rest of the crowd, you need to develop your advanced coding skills. Discover integrated Python coding challenges to test your understanding of advanced Python concepts, following along with instructor Jonathan Fernandes, a results-driven data science consultant. Find out more about what it takes to bridge your knowledge gap to the next level, learning how to write highly advanced, production-level code that’s clean, effective, and dynamic. Upon completing this course, you’ll be prepared to leverage your new coding skills in your current or future role.</p><p>This course is integrated with GitHub Codespaces, an instant cloud developer environment that offers all the functionality of your favorite IDE without the need for any local machine setup. With GitHub Codespaces, you can get hands-on practice from any machine, at any time—all while using a tool that you’ll likely encounter in the workplace.<br><br>Each installment of the <em>Level Up</em> series offers at least 15 bite-sized opportunities to practice programming at various levels of difficulty, so you can challenge yourself and reinforce what you’ve learned. Check out the “Using GitHub Codespaces with this course” video to learn how to get a codespace up and running.</p>",Course,N/A,N/A,true,N/A,
"TensorFlow: Practical Skills in Constructing, Training, and Optimizing Models","Do you want to dive into machine learning? TensorFlow is an essential tool that enables the development of complex machine learning models efficiently. In this course, Greg Damico covers everything from installing TensorFlow and grasping its core concepts to implementing advanced techniques like neural networks and batch normalization. Check out this course to gain practical skills in constructing, training, and optimizing models for real-world applications with TensorFlow.",Course,2025-07-08 04:09 UTC,2025-07-08 04:08 UTC,false,N/A,
Learning Docker Compose,"<p>What is Docker Compose, what it is good at, and what can you do with it? In this course, instructor Nicole Rifkin answers these questions and more. She goes into some of the pain points in local development that Docker Compose was built to solve, and she covers some of the limitations of the technology. Nicole gives you a quick refresher on some core Docker features and demonstrates how to configure those features using Compose. Finally, she walks you through some of the more advanced features of Compose that make managing multiple Docker services a breeze. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/docker-foundations-professional-certificate"" target=""_blank"">Professional Certificate</a> from Docker.</p>",Course,2025-07-20 03:53 UTC,2025-07-20 03:53 UTC,false,N/A,
Nano Tips to Uncover Your Strengths with Shadé Zahrai,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, explore the power of uncovering your inner strengths and managing your weaknesses to promote personal growth.</p><p>Join peak performance researcher and behavioral strategist Shadé Zahrai to learn the secrets of identifying and evolving your strengths with a genuinely curious, growth-focused mindset. Unearth your best possible self and start building on the innate qualities of your character, gathering feedback, unlocking your full potential, seeking balance, and finding your flow state. Along the way, Shadé shows you how to scrutinize your weaknesses to weed out bad habits, play to your strengths, and invest in your future self.</p>",Course,2025-07-08 05:31 UTC,N/A,false,N/A,
Practice It: Python Data Structures,"Are you looking to brush up on your Python skills? Maybe you’ve learned some Python basics and want to take your skills further? This course with Kaylee Kohfeldt provides some hands-on, practical training on Python concepts like sets, collections, string formatting, and lambda functions. Kayle covers skills that you may not use in your day-to-day programming—like a counter, palindrome checker, cleaning up duplicate data, and more—that can help you expand your Python knowledge. If you’re looking to take your Python skills to the next level so you can write more readable and efficient code, join Kaylee in this course.<br><br>This course is integrated with GitHub Codespaces, an instant cloud developer environment that offers all the functionality of your favorite IDE without the need for any local machine setup. With Codespaces, you can get hands-on practice from any machine, at any time—all while using a tool that you’ll likely encounter in the workplace. Check out the “Using GitHub Codespaces with this course” video to learn how to get started.",Course,2025-08-05 00:37 UTC,2025-08-05 00:36 UTC,false,N/A,
Learning Java 11,"Java is one of the top five programming languages, and is used for websites, embedded controllers, and Android app development. Interested in learning how to code with Java? Join instructor Kathryn Hodge as she helps you get up and running with this popular language. Kathryn covers all the basics: Data types, strings, functions, and loops. She helps you control the flow and logic of your code, and debug your project to make sure it runs perfectly. Along the way, she provides real-world examples and introduces challenges that allow you to practice your new skills. This course is perfect for developers who need to get up to speed with Java fast, as well as for beginning programmers who want their first taste of this popular language.",Course,2025-07-18 19:22 UTC,N/A,false,N/A,
Microsoft Azure Data Engineer Associate (DP-203) Cert Prep: 1 Design and Implement Data Storage by Microsoft Press,"The latest professional certifications from Azure are aligned with specific industry roles. Earning your Azure certification helps to validate your unique Azure skill set and increase your value in today's IT job market. Join Microsoft MVP and Microsoft Certified Azure Solutions Architect Tim Warner for an overview of the core concepts and skills required to pass the Microsoft Azure Data Engineer Associate (DP-203) certification exam. In this course, the first in a four-part certification prep series, explore the fundamentals of how to design and implement data storage solutions. Ensure that data pipelines and data stores are high performing, efficient, organized, and reliable, given a set of business requirements and constraints specific to your organization. Learn how to deal with unanticipated issues swiftly, minimize data loss, and design, implement, monitor, and optimize data platforms and structures to meet data pipeline needs.",Course,2025-07-11 01:53 UTC,N/A,false,N/A,
Data Integration and API Development for AI Applications,"<p>This course outlines the skills you need to successfully connect diverse data sources and build APIs that enable seamless interaction between AI models and applications. Join instructor Janani Ravi as she covers essential techniques for efficient data integration and API design, and shows you how to ensure robust communication in AI-driven systems. This course is an ideal fit for anyone working with AI, data infrastructure, and machine learning operations (MLOps), including data engineers, AI and ML engineers, and software developers.</p><p>This course was created by Loonycorn. We are pleased to host this content in our library.</p>",Course,N/A,N/A,true,N/A,
Nano Tips to Stop Overthinking with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, unlock the secrets of living your life without the burden of overthinking, using key insights from award-winning leadership strategist and peak performance specialist Shadé Zahrai.<br><br>Learn how to stop picking apart or criticizing everything you say and do. Discover practical strategies to develop a mindset that doesn’t prevent you from achieving your goals. Find out more about how overthinking can be so detrimental to your career, your relationships, and your personal and professional life. Along the way, Shadé shows you how to gear yourself up for more positive thinking to move from worry to action with ease.",Course,2025-06-28 19:07 UTC,N/A,false,N/A,
Statistics Foundations 3: Using Data Sets,"<p>Statistics are a core skill for many careers. Basic stats are critical for making decisions, discoveries, investments, and even predictions. But sometimes you need to move beyond the basics. This third course in the <i>Statistics Foundations</i> series gives you practical, example-based lessons on the intermediate skills associated with statistics: Samples and sampling, standard errors, confidence intervals, and hypothesis testing.</p><p>Eddie Davila takes a look at topics like sampling, random samples, sample sizes, sampling error, trustworthiness, the central unit theorem, confidence intervals, and hypothesis testing. This course is a must for those working in data science, business, and business analytics—or anyone who wants to go beyond means and medians and gain a deeper understanding of how statistics work in the real world.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/anaconda-python-for-data-science-professional-certificate"" target=""_blank"">Professional Certificate</a> from Anaconda.</p>",Course,2025-07-05 22:31 UTC,2025-07-05 22:28 UTC,false,N/A,
Getting Started with Autonomous Agents in Copilot Studio (No Code Required),"See how to use Copilot Studio to create Copilot Agents. These AI-powered assistants can help simplify workflows, enhance productivity, and automate repetitive tasks throughout your organization.",Course,N/A,N/A,true,N/A,
Copilot in Outlook: Maximize Your Workday Efficiency,"<p>Discover the power of AI in Microsoft Outlook with Copilot, your email writing and summarizing assistant. Leverage Copilot to draft new emails, compose thoughtful replies, and quickly catch up on long email threads. This course provides a range of powerful and time-saving prompt examples you can use to draft strong, professional email messages and tame your inbox.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/microsoft-copilot-for-productivity-by-microsoft-and-linkedin"" target=""_blank"">Professional Certificate</a> from Microsoft.</p>",Course,2025-12-15 04:22 UTC,2025-08-27 20:38 UTC,false,N/A,
IT Service Management Foundations: Change Management,"In IT, changes are the lifeblood of progress, but uncontrolled, dangerous, or unknown changes can cause chaos. In this course, instructor Ernest Mueller steps through how to create a change management process for your organization that enables high levels of performance and fulfills compliance requirements. Ernest explains how change management is differentiated from, and interacts with, the many other IT service management processes. He covers what ITIL, COBIT, and ISO 27000 have to say about change management. Next, he walks you through the steps, roles, and preparations that you need for a change management process and goes over the importance of testing and validating your changes. He presents a framework to use to bootstrap configuration management in a preexisting environment, then discusses how to manage change while preserving your ability to innovate. Ernest concludes with ways to learn even more on your own and put change management into practice.",Course,2025-12-15 08:00 UTC,2025-12-15 07:59 UTC,false,N/A,
OpenAI ChatGPT: Creating Custom GPTs,"GPTs allow you to create custom versions of ChatGPT with their own instructions, knowledge retrieval, and actions for highly specialized and targeted functionality using natural language instructions and basic uploads. In this course you’ll learn how to harness the power of custom GPTs for everything from small personal tasks to large enterprise use cases.",Course,2025-07-08 03:45 UTC,N/A,false,N/A,
Java Microservices with GraalVM,"Traditional JVMs often fail to deliver the speed and efficiency necessary to run today's cloud-based Java applications. GraalVM is a virtual machine that aims to improve performance using strategies such as precompilation and native image creation. Learn how GraalVM can improve your modern Java microservice implementations with examples shown using the Micronaut, Helidon, Quarkus, and Spring frameworks. Instructor Frank Moley first demonstrates how to use GraalVM with existing code artifacts, so you can see the performance benefits on raw code. He then shows how to build a basic microservice in each of the four frameworks—as well as a native image of each service—and reviews the performance and image size metrics of the final microservices. Using these practical examples, you can evaluate which combination will benefit your Java projects the most.",Course,2025-12-28 19:08 UTC,N/A,false,N/A,
Intermediate Python for Non-Programmers,"Are you ready to take your Python skills to the next level? Join instructor Nick Walter in this intermediate-level course, part two of his previous course <i>Python for Non-Programmers</i>, designed specifically for learners with little to no coding experience. Push your skill set with more advanced concepts and coding challenges by completing the three practice projects, including a weather forecaster, web scraper, and to-do list. Learn more about classes in object-oriented programming as well as functional programming tools and how to create, edit, and delete files. Get tips for running Python like a pro, coding it from anywhere, on any type of operating system. By the end of this course, you’ll have upgraded your toolkit as a developer and will feel more comfortable with Python coding.",Course,2025-07-03 15:13 UTC,2025-07-03 15:07 UTC,false,N/A,
Azure Data Factory,"<p>If you want to grow your skills as a data scientist or enterprise application expert, you need to know how to design and manage an integrated IT strategy. Enter Azure Data Factory, the fully managed, serverless data integration service from Microsoft. In this course, instructor Karsten Ulferts shows you how to use Azure Data Factory (ADF) for pipelining and data transformation.</p><p>Explore the basics of successful deployment and the key terms of the ADF object model, ramping up your skill set to assess and analyze data output and data quality. Learn how concrete data integration solutions can be implemented with ADF, using extensions and available improvements to go beyond normal testing operations. Karsten gives you tips along the way on other more advanced object modeling tools, such as triggers, integration runtimes, Power Query, flowlets, quotas, limitations, and more.</p>",Course,N/A,N/A,true,N/A,
Neural Networks and Convolutional Neural Networks Essential Training (2018),"Take a deep dive into neural networks and convolutional neural networks, two key concepts in the area of machine learning. In this hands-on course, instructor Jonathan Fernandes covers fundamental neural and convolutional neural network concepts. Jonathan begins by providing an introduction to the components of neural networks, discussing activation functions and backpropagation. He then looks at convolutional neural networks, explaining why they're particularly good at image recognition tasks. He also steps through how to build a neural network model using Keras. Plus, learn about VGG16, the history of the ImageNet challenge, and more.",Course,2025-07-10 04:18 UTC,2025-07-10 04:17 UTC,false,N/A,
Python for Non-Programmers,"<p>Did you know that learning Python is one of the easiest ways to learn to code? It’s true. And in this course you can avoid the jargon and make learning how to code a lot more fun. You don’t have to be an expert technician, either. Join instructor Nick Walter and find out what you need to get started now.</p><p>In this course, Nick teaches the fundamentals of Python to you: a non-programmer, a user with little to no coding experience. Learn more about what Python is, and what it is and isn’t used for. Explore how Python works with numbers and how you can interact with simple programs such as a simple number-guessing game. Find out how to work with text in Python by building a reusable function to count the words in a block of text. And along the way, tackle quick challenges and other games that allow you to put your new skills to the test.</p>",Course,2025-06-29 03:04 UTC,2025-06-29 03:03 UTC,false,N/A,
Practical Python for Algorithmic Trading,"If you work in finance or have any interest in investing and trading, you know that there’s a treasure trove of financial data available to you at any moment. But how can you use all that information to your advantage? Algorithmic trading using machine learning techniques can help you make trading decisions based on data. In this course, Jesus Lopez teaches you about data preprocessing, feature engineering, and how to use advanced machine learning models to enhance your trading strategies. He shows you how to download stock market data from Yahoo Finance to be trained on machine learning models that can make predictions, and how to create investment decisions based on these predictions. Learn how to optimize your strategies, understand backtesting techniques, and interpret performance reports with confidence.",Course,2025-07-17 17:00 UTC,N/A,false,N/A,
Building the Classic Snake Game with Python,"In this course, instructor Robin Andrews shows you how to put together what you need to know to build the Python version of a classic Snake game. Robin introduces you to turtle graphics and how you can use and control animation using Python turtle graphics. He explains global variables and shows you how to draw with turtle graphics by using stamps. With these pieces in place, it’s time to work on the game itself! Robin walks you through how to represent the snake, move it around the screen, and control the snake’s direction. He discusses the game loop that is used to control the game and also goes over how to add snake food to the game, implement a scoring system, and reset the game.",Course,N/A,N/A,true,N/A,
Prompt Engineering: How to Talk to the AIs,"Are you looking to learn more about prompt engineering, but not sure where to start? Join Xavier Amatriain, vice president of engineering and AI product strategy at LinkedIn, in this course designed to get you up to speed with one of the hottest topics in AI today. By the end of this course, you’ll be equipped with new engineering tips and tricks—as well as a variety of sample prompts and responses—to start talking to the AIs all on your own.",Course,N/A,N/A,true,N/A,
Python Projects: Create an Interactive Quiz Application ,"Think you’ve got a grip on Python? Looking for ways to improve your programming skills? One of the best ways is to put your skills into action and build something real. Join Joe Marini in this course, as he shows you how to use Python to build a quiz-taking program, step by step, explaining how to build and test each feature as you go along. Joe starts with designing the basic features and finishes with a completed application that presents the user with a menu-driven interface, administers the quizzes, and saves the results to a file. Once the app is built, he demonstrates ways to improve the app and add new features, like presenting the questions in random order and measuring the amount of time it takes a user to complete the quiz. If you want to put aside programming study and theory and learn through building something real, join Joe for this hands-on course.",Course,2025-07-03 15:13 UTC,N/A,false,N/A,
Certified Entry-Level Python Programmer (PCEP-30-02) Cert Prep,"Python is one of the most popular programming languages in the world, and getting certified can boost your profile and increase your attractiveness to employers. If you're looking to earn your Certified Entry-Level Python Programmer (PCEP) certification and validate your Python skills, join instructor Maximiliano Firtman in this course. Maximiliano first takes you through the fundamentals of computer and Python programming. He then discusses control flow, including conditional blocks and loops. Next, he shows you how to work with data, including tuples, dictionaries, and lists. Finally, Maximiliano guides you through using functions and expressions.",Course,2025-09-11 00:49 UTC,N/A,false,N/A,
Sustainability as an Innovation Opportunity,"<p>Sustainability is quickly becoming a must-have in business—a technical skill set that employees, managers, and executives need to gain deeper understanding and build capacity to grow. It’s a way of thinking about how you use, value, and respect a world of shared but finite natural resources that we all depend on to create the products and services we use. In this course, LinkedIn Changemaker and UNEP Champion of the Earth Leyla Acaroglu gives you an overview of why sustainability matters to business as an opportunity to innovate and grow.<br><br>Learn about sustainability and the circular economy with examples of how it impacts business decisions and daily life, including waste, product lifecycle, supply chains, and procurement, to name a few. Explore the emerging world of circular redesign and what it means to operationalize it for a business. Leyla gives you practical tips to take action, motivate others, and inspire sustainable innovation in product development and business design. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-sustainable-tech-by-microsoft-and-linkedin"" target=""_blank"">Professional Certificate</a> from Microsoft.</p>",Course,2024-09-05 07:18 UTC,2024-09-05 07:17 UTC,false,N/A,
Copilot in Teams: AI-Powered Collaboration,"<p>The Copilot add-on in Teams lets you use several Artificial Intelligence features to level up your productivity. Join instructor Nick Brazzi as he shows how to get summaries or answers about chat conversations. Copilot can also help you find information about meetings. So, if you’re late to a meeting, Copilot can get you caught up. This course will also show how to use the Microsoft 365 chat assistant to get answers about your schedule, your documents, and other information from your organization.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/microsoft-copilot-for-productivity-by-microsoft-and-linkedin"" target=""_blank"">Professional Certificate</a> from Microsoft.</p>",Course,2025-08-27 20:25 UTC,2025-08-27 20:24 UTC,false,N/A,
Learning Docker,"<p>Applications working on one machine but not others is a common problem in software development. Configuration management tools and virtual machines are common solutions, but can be cumbersome for developers who just want their code to run in other places safely. 
</p><p>
Docker, an open-source containerization platform, simplifies the deployment and management of your applications by packaging your apps into images that run in containers—standardized executable components combining application source code with the operating system libraries and dependencies required to run that code in any environment. In this course, software engineer Carlos Nunez introduces the basics of Docker, including its containers, Dockerfiles (or base images), capabilities, and troubleshooting. Watch and learn how to build your own containers.
</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/docker-foundations-professional-certificate"" target=""_blank"">Professional Certificate</a> from Docker.</p>",Course,2025-07-19 22:34 UTC,2025-07-19 22:33 UTC,false,N/A,
